student_id,ports
105121845,11455 11456 11457 11458 11459
504798407,12120 12121 12122 12123 12124
105093055,12200 12201 12202 12203 12204
505103892,11980 11981 11982 11983 11984
804771005,12175 12176 12177 12178 12179
505352377,12170 12171 12172 12173 12174
904831344,12225 12226 12227 12228 12229
005021262,11600 11601 11602 11603 11604
003890206,11400 11401 11402 11403 11404
304970917,12275 12276 12277 12278 12279
204970866,11595 11596 11597 11598 11599
505208399,11655 11656 11657 11658 11659
004786138,12100 12101 12102 12103 12104
305179067,12035 12036 12037 12038 12039
805148196,11905 11906 11907 11908 11909
605116752,11535 11536 11537 11538 11539
805127226,12025 12026 12027 12028 12029
505104679,11840 11841 11842 11843 11844
705124129,12185 12186 12187 12188 12189
604981429,11965 11966 11967 11968 11969
904647303,12145 12146 12147 12148 12149
204971366,12130 12131 12132 12133 12134
004933115,11810 11811 11812 11813 11814
805101033,11760 11761 11762 11763 11764
605208884,12210 12211 12212 12213 12214
605006452,12335 12336 12337 12338 12339
505148131,12365 12366 12367 12368 12369
404671456,12385 12386 12387 12388 12389
204793996,11740 11741 11742 11743 11744
505000422,12320 12321 12322 12323 12324
904794209,11785 11786 11787 11788 11789
304604453,11720 11721 11722 11723 11724
405099796,11625 11626 11627 11628 11629
304908336,12040 12041 12042 12043 12044
704540685,12305 12306 12307 12308 12309
404822498,11445 11446 11447 11448 11449
605082988,11500 11501 11502 11503 11504
804986162,11725 11726 11727 11728 11729
504923307,12150 12151 12152 12153 12154
204991656,11790 11791 11792 11793 11794
604928106,12315 12316 12317 12318 12319
004903217,11945 11946 11947 11948 11949
504732671,11850 11851 11852 11853 11854
205353552,12160 12161 12162 12163 12164
404804135,11745 11746 11747 11748 11749
304902259,12050 12051 12052 12053 12054
805181402,11580 11581 11582 11583 11584
604919786,11890 11891 11892 11893 11894
504998741,11525 11526 11527 11528 11529
704984314,11940 11941 11942 11943 11944
404798097,11875 11876 11877 11878 11879
005081232,12380 12381 12382 12383 12384
005108444,12045 12046 12047 12048 12049
005159259,12030 12031 12032 12033 12034
405229316,11845 11846 11847 11848 11849
204922347,11640 11641 11642 11643 11644
604937945,11415 11416 11417 11418 11419
405186543,12215 12216 12217 12218 12219
404979154,12285 12286 12287 12288 12289
305083852,11910 11911 11912 11913 11914
504941113,11825 11826 11827 11828 11829
904985789,11590 11591 11592 11593 11594
504984273,11510 11511 11512 11513 11514
705151349,11695 11696 11697 11698 11699
504983099,11885 11886 11887 11888 11889
704909715,11775 11776 11777 11778 11779
105165778,11865 11866 11867 11868 11869
204927670,11975 11976 11977 11978 11979
205097798,12005 12006 12007 12008 12009
005099109,12165 12166 12167 12168 12169
005354166,12395 12396 12397 12398 12399
205119050,11490 11491 11492 11493 11494
005332037,12195 12196 12197 12198 12199
504612659,12360 12361 12362 12363 12364
605083803,11900 11901 11902 11903 11904
804971740,12125 12126 12127 12128 12129
705097258,12190 12191 12192 12193 12194
804994987,11800 11801 11802 11803 11804
905107708,11435 11436 11437 11438 11439
605125539,12070 12071 12072 12073 12074
205151479,11955 11956 11957 11958 11959
005118909,11815 11816 11817 11818 11819
905215618,12180 12181 12182 12183 12184
104910241,12345 12346 12347 12348 12349
404902372,12355 12356 12357 12358 12359
605184760,11950 11951 11952 11953 11954
704959159,11710 11711 11712 11713 11714
705179678,12085 12086 12087 12088 12089
605128458,11795 11796 11797 11798 11799
